Genus,G1,G2,G3,G4,G5,G6,G7,G11,G12,G14,G16,G18,G19,G20,G21,G22,G24,G29,G31,G32,G33,G34,G35,G36,G38,G45,G47,G48,G51,G54,G55,G58,G59,G61,G62,G64,G65,G66,G67,G69,G70,Taxonomy
Halomonas,2.00E-31,0.00E+00,NA,2.00E-149,4.00E-125,1.00E-18,3.00E-43,NA,NA,NA,3.00E-42,NA,7.00E-46,NA,NA,NA,1.00E-50,NA,NA,NA,NA,5.00E-47,2.00E-24,NA,NA,NA,NA,NA,7.00E-19,4.00E-85,4.00E-37,NA,1.00E-10,NA,NA,NA,NA,2.00E-18,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Oceanospirillales; Halomonadaceae
Plasticicumulans,NA,NA,NA,NA,2.00E-119,NA,NA,NA,NA,NA,NA,NA,1.00E-12,NA,NA,NA,NA,NA,NA,NA,NA,2.00E-52,NA,NA,NA,NA,NA,NA,NA,2.00E-84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Gammaproteobacteria; unclassified Gammaproteobacteria; Candidatus Competibacteraceae
Chromohalobacter,NA,NA,NA,3.00E-153,3.00E-113,5.00E-10,3.00E-36,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.00E-36,NA,NA,NA,NA,5.00E-46,2.00E-14,NA,NA,NA,NA,NA,NA,3.00E-81,NA,NA,NA,NA,NA,NA,NA,1.00E-17,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Oceanospirillales; Halomonadaceae
Thauera,NA,NA,NA,5.00E-61,2.00E-24,1.00E-32,6.00E-125,NA,NA,2.00E-05,1.00E-56,NA,5.00E-75,6.00E-52,NA,9.00E-23,8.00E-41,NA,NA,NA,NA,4.00E-43,NA,NA,NA,NA,NA,NA,NA,8.00E-85,NA,NA,3.00E-11,NA,NA,NA,NA,7.00E-10,NA,NA,NA,Proteobacteria; Betaproteobacteria; Rhodocyclales; Zoogloeaceae
Comamonadaceae bacterium,NA,5.00E-14,NA,7.00E-83,2.00E-30,1.00E-30,1.00E-72,NA,NA,NA,NA,NA,2.00E-11,4.00E-118,NA,2.00E-50,8.00E-63,NA,NA,NA,NA,1.00E-44,1.00E-15,NA,NA,NA,NA,NA,NA,7.00E-76,NA,NA,NA,NA,NA,NA,NA,2.00E-24,NA,NA,NA,Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; unclassified Comamonadaceae
Malikia,NA,1.00E-15,NA,3.00E-64,3.00E-14,2.00E-30,4.00E-118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae
Waddliaceae bacterium,NA,6.00E-27,NA,9.00E-29,1.00E-94,8.00E-29,1.00E-113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chlamydiae; Chlamydiia; Parachlamydiales; Waddliaceae; unclassified Waddliaceae
Micavibrio,NA,5.00E-26,NA,9.00E-83,6.00E-100,1.00E-28,3.00E-115,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.00E-33,NA,NA,NA,NA,1.00E-48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-10,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Alphaproteobacteria; unclassified Alphaproteobacteria
Azospirillum,NA,1.00E-23,NA,9.00E-107,2.00E-89,1.00E-27,2.00E-110,NA,NA,NA,NA,NA,8.00E-43,NA,NA,NA,3.00E-39,NA,NA,NA,NA,NA,3.00E-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.00E-50,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae
Burkholderiales bacterium,NA,9.00E-16,NA,5.00E-63,7.00E-32,2.00E-27,1.00E-86,NA,NA,NA,3.00E-68,NA,NA,4.00E-115,NA,6.00E-53,1.00E-57,NA,NA,NA,NA,4.00E-45,NA,8.00E-46,NA,NA,NA,NA,NA,3.00E-82,NA,NA,NA,NA,NA,NA,NA,1.00E-18,NA,NA,NA,Proteobacteria; Betaproteobacteria; Burkholderiales; unclassified Burkholderiales; unclassified Burkholderiales (miscellaneous)
Azoarcus,NA,5.00E-14,NA,1.00E-70,7.00E-21,7.00E-27,1.00E-112,NA,NA,2.00E-05,NA,NA,9.00E-08,NA,NA,NA,6.00E-76,NA,NA,NA,NA,5.00E-43,NA,NA,NA,NA,NA,NA,NA,3.00E-82,1.00E-04,NA,NA,1.00E-25,NA,NA,NA,2.00E-09,NA,NA,NA,Proteobacteria; Betaproteobacteria; Burkholderiales; unclassified Burkholderiales; unclassified Burkholderiales (miscellaneous)
Oceanibacterium,NA,8.00E-145,NA,5.00E-54,6.00E-24,5.00E-26,2.00E-112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Alphaproteobacteria; Sneathiellales; Sneathiellaceae
Blastochloris,NA,8.00E-26,NA,2.00E-78,5.00E-96,3.00E-25,3.00E-105,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00E-39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae
Agarilytica,NA,2.00E-20,NA,5.00E-74,7.00E-78,9.00E-20,3.00E-116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00E-44,NA,NA,NA,NA,NA,NA,NA,4.00E-77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Cellvibrionales; Cellvibrionaceae
Ottowia,NA,1.00E-36,NA,1.00E-77,2.00E-36,4.00E-20,1.00E-115,NA,NA,NA,NA,NA,NA,2.00E-110,NA,4.00E-46,3.00E-43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00E-21,NA,NA,NA,Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae
Litoricola,NA,NA,NA,1.00E-76,2.00E-77,3.00E-18,1.00E-115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00E-76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Oceanospirillales; Litoricolaceae
Variovorax,NA,4.00E-148,NA,4.00E-84,7.00E-34,1.00E-20,4.00E-115,NA,NA,NA,3.00E-60,NA,NA,NA,NA,NA,2.00E-43,NA,NA,NA,NA,8.00E-42,3.00E-13,9.00E-52,NA,NA,NA,1.00E-10,NA,NA,NA,NA,7.00E-08,NA,NA,NA,NA,8.00E-23,NA,NA,NA,Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae
Oceanospirillales,NA,2.00E-125,NA,1.00E-35,2.00E-67,NA,2.00E-112,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.00E-23,NA,NA,NA,NA,2.00E-46,NA,NA,NA,NA,NA,NA,NA,6.00E-82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Gammaproteobacteria
Vibrio,6.00E-26,0.00E+00,NA,4.00E-86,2.00E-88,6.00E-06,9.00E-45,9.00E-21,NA,NA,NA,NA,NA,NA,NA,NA,2.00E-11,NA,NA,NA,NA,7.00E-44,NA,NA,NA,NA,NA,NA,NA,6.00E-83,NA,NA,4.00E-30,NA,NA,NA,NA,4.00E-25,NA,NA,NA,Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae
Phenylobacterium,NA,1.00E-19,NA,8.00E-27,NA,NA,NA,2.00E-17,NA,NA,NA,NA,NA,NA,NA,NA,7.00E-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-11,NA,NA,NA,NA,2.00E-18,NA,NA,NA,Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae
Haliangium,NA,NA,NA,NA,NA,NA,NA,7.00E-17,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-04,NA,NA,NA,NA,3.00E-41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.00E-12,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Deltaproteobacteria; Myxococcales; Nannocystineae; Kofleriaceae
Chitinophagaceae bacterium,NA,3.00E-19,NA,NA,2.00E-24,NA,NA,5.00E-16,NA,NA,NA,NA,NA,NA,NA,NA,4.00E-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.00E-21,NA,NA,NA,Bacteroidetes; Chitinophagia; Chitinophagales; Chitinophagaceae; unclassified Chitinophagaceae
Chitinophaga,NA,2.00E-23,NA,7.00E-25,NA,NA,NA,2.00E-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteroidetes; Chitinophagia; Chitinophagales; Chitinophagaceae
Chlorobi bacterium,NA,NA,NA,NA,NA,NA,NA,6.00E-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.00E-76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chlorobi; unclassified Chlorobi
Cytophagia bacterium,NA,7.00E-34,NA,NA,NA,NA,NA,4.00E-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00E-32,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.00E-20,NA,NA,NA,NA,NA,NA,NA,NA,Bacteroidetes; Cytophagia; unclassified Cytophagia
Bdellovibrio,NA,NA,NA,1.00E-19,6.00E-14,NA,NA,3.00E-12,NA,NA,NA,NA,9.00E-43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00E-79,NA,NA,1.00E-24,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Oligoflexia; Bdellovibrionales; Bdellovibrionaceae
Elusimicrobia bacterium,NA,6.00E-18,NA,NA,4.00E-19,NA,NA,7.00E-12,NA,NA,2.00E-18,NA,4.00E-16,NA,NA,NA,1.00E-12,NA,NA,NA,NA,NA,NA,5.00E-32,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-38,NA,NA,NA,NA,NA,NA,NA,NA,Elusimicrobia; unclassified Elusimicrobia
Methylotenera,NA,NA,NA,NA,NA,NA,NA,9.00E-12,NA,NA,NA,NA,NA,NA,NA,NA,9.00E-37,NA,NA,NA,NA,NA,1.00E-40,NA,NA,NA,NA,NA,NA,4.00E-87,NA,NA,8.00E-08,NA,NA,NA,NA,1.00E-05,NA,NA,NA,Proteobacteria; Betaproteobacteria; Nitrosomonadales; Methylophilaceae
Burkholderia,NA,1.00E-170,NA,2.00E-48,1.00E-28,3.00E-17,1.00E-87,3.00E-10,4.00E-23,NA,NA,NA,NA,NA,NA,NA,1.00E-81,NA,NA,NA,NA,4.00E-44,9.00E-61,9.00E-67,4.00E-33,NA,NA,2.00E-18,NA,1.00E-78,NA,1.00E-46,3.00E-73,NA,NA,NA,NA,4.00E-16,NA,NA,NA,Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae
Stenotrophomonas phage DLP4,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Uroviricota; Caudovirales; Siphoviridae; Pamexvirus; unclassified Pamexvirus
Xanthomonas phage Bosa,NA,NA,NA,NA,NA,NA,NA,NA,3.00E-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Uroviricota; Caudovirales; Siphoviridae; Pamexvirus; unclassified Pamexvirus
Xylella phage Salvo,NA,1.00E-143,NA,1.00E-41,NA,NA,2.00E-64,NA,6.00E-16,NA,1.00E-39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Uroviricota; Caudovirales; Siphoviridae; Sanovirus; Xylella virus Salvo
Cupriavidus,NA,0,NA,1.00E-121,2.00E-45,3.00E-13,1.00E-84,NA,2.00E-14,NA,NA,NA,NA,NA,NA,NA,2.00E-81,NA,4.00E-12,NA,NA,1.00E-45,1.00E-53,NA,1.00E-27,NA,NA,NA,NA,2.00E-80,NA,NA,2.00E-62,NA,NA,NA,NA,3.00E-19,NA,NA,NA,Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae
Xylella phage Bacata,NA,4.00E-143,NA,1.00E-41,NA,NA,NA,NA,1.00E-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Uroviricota; Caudovirales; Siphoviridae; Sanovirus; unclassified Sanovirus
Xylella phage Sano,NA,9.00E-146,NA,4.00E-42,NA,NA,4.00E-70,NA,2.00E-13,NA,8.00E-40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Uroviricota; Caudovirales; Siphoviridae; Sanovirus; Xylella virus Sano
Stenotrophomonas phage vB_SmaS_DLP_5,NA,NA,NA,NA,NA,NA,NA,NA,4.00E-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Uroviricota; Caudovirales; Siphoviridae; Delepquintavirus; Stenotrophomonas virus DLP5
Desulfoluna,NA,8.00E-25,NA,2.00E-40,4.00E-67,NA,1.00E-18,NA,NA,5.00E-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria;  Deltaproteobacteria; Desulfobacterales; Desulfobacteraceae
Aromatoleum,NA,3.00E-13,NA,5.00E-18,NA,NA,NA,NA,3.00E-05,4.00E-06,NA,NA,1.00E-06,NA,NA,NA,NA,NA,NA,NA,NA,2.00E-41,NA,NA,NA,NA,NA,NA,NA,2.00E-81,NA,NA,NA,NA,NA,NA,NA,7.00E-06,NA,NA,NA,Proteobacteria; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae
Syntrophaceae bacterium,NA,7.00E-24,NA,7.00E-54,NA,NA,NA,NA,NA,8.00E-05,NA,NA,2.00E-35,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-15,8.00E-80,NA,NA,NA,NA,NA,4.00E-79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Deltaproteobacteria; Syntrophobacterales; Syntrophaceae; unclassified Syntrophaceae
Delftia,NA,2.00E-156,NA,1.00E-92,1.00E-25,NA,NA,NA,NA,NA,9.00E-64,NA,NA,NA,NA,NA,8.00E-45,NA,NA,NA,NA,NA,1.00E-16,1.00E-54,NA,NA,NA,NA,NA,NA,NA,1.00E-35,2.00E-68,NA,NA,NA,NA,3.00E-23,NA,NA,NA,Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae
Comamonas,NA,2.00E-14,NA,2.00E-96,3.00E-33,NA,NA,3.00E-09,NA,NA,2.00E-63,NA,NA,NA,NA,NA,8.00E-54,NA,NA,NA,NA,NA,1.00E-32,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-27,1.00E-59,NA,NA,NA,NA,8.00E-25,NA,NA,NA,Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae
Nocardioides,NA,2.00E-18,NA,NA,NA,NA,NA,NA,NA,NA,8.00E-63,NA,NA,2.00E-59,NA,2.00E-49,1.00E-48,NA,NA,NA,NA,NA,3.00E-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00E-23,9.00E-20,NA,NA,NA,NA,NA,NA,NA,Actinobacteria; Actinobacteria; Propionibacteriales; Nocardioidaceae
Rhizobiales bacterium,NA,2.00E-140,NA,2.00E-89,3.00E-82,3.00E-16,1.00E-74,1.00E-04,NA,NA,1.00E-57,NA,2.00E-42,NA,NA,NA,5.00E-43,NA,NA,NA,NA,NA,3.00E-31,2.00E-50,NA,NA,NA,NA,NA,NA,NA,NA,3.00E-80,NA,NA,NA,NA,2.00E-21,NA,NA,NA,Proteobacteria; Alphaproteobacteria; Rhizobiales; unclassified Rhizobiales; unclassified Rhizobiales (miscellaneous)
Alicycliphilus,NA,NA,NA,3.00E-61,6.00E-24,NA,NA,NA,NA,NA,1.00E-53,NA,NA,2.00E-56,NA,9.00E-44,4.00E-39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae
Chitiniphilus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.00E-86,NA,NA,NA,7.00E-59,NA,NA,NA,NA,NA,5.00E-44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Betaproteobacteria; Neisseriales; Chromobacteriaceae
Chloroflexi bacterium,NA,1.00E-24,NA,2.00E-34,3.00E-42,NA,NA,NA,NA,NA,2.00E-09,NA,1.00E-54,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00E-34,NA,NA,NA,NA,NA,NA,8.00E-85,NA,NA,9.00E-43,5.00E-30,NA,NA,NA,NA,NA,NA,NA,Chloroflexi; unclassified Chloroflexi; unclassified Chloroflexi (miscellaneous)
Myxococcaceae bacterium,NA,NA,NA,NA,2.00E-16,NA,NA,NA,NA,NA,NA,NA,8.00E-53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00E-10,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Myxococcaceae; unclassified Myxococcaceae
Balneola,NA,NA,NA,NA,2.00E-16,NA,NA,NA,NA,NA,NA,NA,3.00E-52,NA,NA,NA,5.00E-25,NA,NA,NA,NA,NA,1.00E-14,2.00E-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Balneolaeota; Balneolia; Balneolales; Balneolaceae
Telmatospirillum,NA,6.00E-15,NA,2.00E-58,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.00E-08,NA,NA,NA,NA,NA,NA,NA,NA,Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae
Microcystis phage Me-ZS1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.00E-51,NA,NA,NA,NA,NA,NA,NA,1.00E-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Uroviricota; Caudovirales; Siphoviridae; unclassified Siphoviridae
